	htid	spec_nongb_subcountry	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
285	mdp.39015077636358	0.616942909760589	1.7837289602349482	Conrad, Joseph	Lord Jim: A Tale	1900	Fiction-Novel	Male	White	Europe	181248
273	mdp.39015060845628	0.6163934426229473	0.9893718237845899	Wells, H. G.	Tono-Bungay	1909	Fiction-Novel	Male	White	Britain	183545
111	mdp.39015002174475	0.6147540983606556	1.581624799865365	Yeats, William Butler	The Celtic Twilight	1893	Fiction-Stories	Male	White	Ireland	45926
264	mdp.39015055599784	0.6141732283464568	1.7941335492411687	Forster, E. M.	A Room With a View	1908	Fiction-Novel	Male	White	Britain	84291
352	pst.000013460631	0.6137339055793988	1.2126195367842731	Bowen, Elizabeth	To the North	1932	Fiction-Novel	Female	White	Ireland	114402
78	inu.32000005560356	0.6133333333333333	1.3437146158492923	Conrad, Joseph	The Nigger of the Narcissus	1897	Fiction-Novel	Male	White	Europe	33232
282	mdp.39015066681548	0.6111111111111112	0.23136206269954318	Hardy, Thomas	Life's Little Ironies	1894	Fiction-Stories	Male	White	Britain	92643
533	uc2.ark:/13960/t0wp9wh4k	0.609756097560976	0.6354722370906618	Mansfield, Katherine	In a German Pension	1911	Fiction-Novel	Female	White	Australasia	38414
235	mdp.39015032477062	0.6082474226804155	0.6339578464525621	Huxley, Aldous	Eyeless in Gaza	1936	Fiction-Novel	Male	White	Britain	182198
542	uc2.ark:/13960/t4hm5k49t	0.6081081081081081	0.27444550901168774	Lawrence, D. H.	The White Peacock	1911	Fiction-Novel	Male	White	Britain	160538
425	uc1.32106001955357	0.6074766355140201	0.662123095283901	Stevenson, Robert Louis	More New Arabian Nights	1885	Fiction-Stories	Male	White	Britain	96216
373	pst.000033636887	0.6067796610169489	2.2044875557231665	Conan Doyle, Arthur	The Sign of Four	1889	Fiction-Novel	Male	White	Britain	79674
199	mdp.39015016884994	0.6060606060606049	0.7011098561988891	Chesterton, G. K.	The Incredulity of Father Brown	1926	Fiction-Stories	Male	White	Britain	84072
33	gri.ark:/13960/t3kw8z43q	0.6051282051282065	0.879275099560363	Ford, Ford Madox	Ladies Whose Bright Eyes	1911	Fiction-Novel	Male	White	Britain	132042
358	pst.000022830753	0.6046511627906971	1.1445987478248116	Wells, H. G.	Star-Begotten: A Biological Fantasia	1937	Fiction-Novel	Male	White	Britain	44735
548	uc2.ark:/13960/t91836s7n	0.6044776119402994	0.3570976166612559	West, Rebecca	The Judge	1922	Fiction-Novel	Female	White	Ireland	223419
297	mdp.39076005037937	0.6043165467625898	1.4019760523418938	Galsworthy, John	The White Monkey: a Silent Wooing	1924	Fiction-Novel	Male	White	Britain	118061
118	mdp.39015002709973	0.6034482758620696	0.22812518044308333	Powys, John Cowper	Rodmoor: A Romance	1916	Fiction-Novel	Male	White	Britain	151376
312	mdp.49015001002139	0.6015624999999987	0.5625810835841665	Sayers, Dorothy	The Nine Tailors	1934	Fiction-Novel	Female	White	Britain	135465
350	pst.000008520463	0.6011730205278593	2.6323556551604526	Smith, Stevie	Over the Frontier	1938	Fiction-Novel	Female	White	Britain	77128
272	mdp.39015060669036	0.5999999999999998	1.5315154475319956	Wells, H. G.	A Modern Utopia	1905	Fiction-Novel	Male	White	Britain	124403
568	uva.x000618958	0.5987654320987673	1.0268749809540374	Maugham, William Somerset	The Explorer	1907	Fiction-Novel	Male	White	Britain	93929
103	mdp.39015000631930	0.5977011494252872	1.027686886270365	Lawrence, D. H.	The Woman Who Rode Away, and Other Stories	1928	Fiction-Stories	Male	White	Britain	100807
295	mdp.39076001541874	0.5974025974025978	0.38700590143823216	Forster, E. M.	The Longest Journey	1907	Fiction-Novel	Male	White	Britain	118461
135	mdp.39015003681668	0.5967741935483863	0.6711436178228748	Galsworthy, John	To Let	1921	Fiction-Novel	Male	White	Britain	110004
387	uc1.$b106204	0.5944055944055944	0.9382952535872788	Maugham, William Somerset	The Mixture as Before	1940	Fiction-Novel	Male	White	Britain	90740
353	pst.000019367736	0.5928143712574876	0.6138960956432746	Conrad, Joseph	Typhoon and Other Stories	1903	Fiction-Stories	Male	White	Europe	161966
128	mdp.39015003675322	0.591954022988507	0.878902809354693	Ford, Ford Madox	Ladies Whose Bright Eyes (heavily revised)	1935	Fiction-Novel	Male	White	Britain	117872
101	mdp.39015000606981	0.59	0.619598709776345	Orwell, George	Coming up for Air	1939	Fiction-Novel	Male	White	South Asia	96093
276	mdp.39015065539754	0.5897435897435898	0.3865982141955936	Warner, Sylvia	Lolly Willowes	1926	Fiction-Novel	Female	White	Britain	60063
316	mdp.49015001344812	0.5890410958904108	0.4963404684077858	Greene, Graham	The Confidential Agent	1939	Fiction-Novel	Male	White	Britain	87568
368	pst.000032226942	0.5887096774193546	1.5534335423765422	Maugham, William Somerset	The Narrow Corner	1932	Fiction-Novel	Male	White	Britain	95052
258	mdp.39015053230531	0.5886524822695028	0.8683837364145375	Wells, H. G.	The Soul of a Bishop	1917	Fiction-Novel	Male	White	Britain	96674
