	htid	spec_world_subcity	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
446	uc1.32106011205272	0.36774193548387313	0.7421496071681268	Gissing, George	New Grub Street	1891	Fiction-Novel	Male	White	Britain	234505
11	coo.31924013536119	0.36666666666666586	1.4276356730304331	Bennett, Arnold	The Sinews of War: A Romance of London and the Sea	1906	Fiction-Novel	Male	White	Britain	102244
75	inu.32000004614402	0.36553524804177645	1.0990865023175462	Galsworthy, John	Swan Song	1928	Fiction-Novel	Male	White	Britain	130424
224	mdp.39015030738119	0.3650793650793655	0.9672771044647346	Firbank, [Arthur Annesley] Ronald	The Artificial Princess	1934	Fiction-Novel	Male	White	Britain	24377
192	mdp.39015013962207	0.365019011406844	1.272730879833998	Woolf, Virginia	Mrs Dalloway	1925	Fiction-Novel	Female	White	Britain	77341
332	nyp.33433074968532	0.3644067796610179	1.4682079536911101	du Maurier, George	Trilby	1894	Fiction-Novel	Male	White	Europe	60161
84	inu.39000000700414	0.3642105263157879	1.2169664365201631	Wells, H. G.	Christina Alberta's Father	1925	Fiction-Novel	Male	White	Britain	146085
345	osu.32435061047858	0.36315789473684135	0.8105711407782789	Conan Doyle, Arthur	The Lost World	1912	Fiction-Novel	Male	White	Britain	87731
299	mdp.39076005037937	0.3630573248407643	1.4931555939642518	Galsworthy, John	The White Monkey: a Silent Wooing	1924	Fiction-Novel	Male	White	Britain	118061
202	mdp.39015018629371	0.3628691983122362	0.8872265251057209	West, Rebecca	Harriet Hume	1929	Fiction-Novel	Female	White	Ireland	99978
527	uc1.b4938307	0.3626373626373619	1.0289963994886742	Hardy, Thomas	Two on a Tower	1882	Fiction-Novel	Male	White	Britain	132397
414	uc1.$b787244	0.3617886178861789	0.5076339880693829	Myers, L. H.	The Pool of Vishnu	1940	Fiction-Novel	Male	White	Britain	181374
233	mdp.39015031240875	0.3614457831325299	0.8420473402284324	Isherwood, Christopher	The Memorial	1932	Fiction-Novel	Male	White	Britain	73784
515	uc1.b4095578	0.36000000000000004	0.2507972881572038	Green, Henry	Party Going	1939	Fiction-Novel	Male	White	Britain	74617
212	mdp.39015028687088	0.358695652173913	0.6633138236748283	Wells, H. G.	The Stolen Bacillus, and Other Incidents	1895	Fiction-Stories	Male	White	Britain	51911
281	mdp.39015066069033	0.3577981651376163	0.6610218649134136	Stevenson, Robert Louis	The New Arabian Nights	1882	Fiction-Stories	Male	White	Britain	123433
216	mdp.39015030719598	0.35772357723577186	0.9132094875334388	Wells, H. G.	The King Who Was a King	1929	Fiction-Novel	Male	White	Britain	50411
268	mdp.39015058011787	0.35757575757575844	0.7503641670027023	Woolf, Virginia	The Years	1937	Fiction-Novel	Female	White	Britain	164601
343	osu.32435052478203	0.3522388059701486	0.5506942479701994	Lawrence, D. H.	Women in Love	1920	Fiction-Novel	Male	White	Britain	227680
452	uc1.32106014380601	0.3513513513513508	0.9330841540221507	Conrad, Joseph	The Rover	1923	Fiction-Novel	Male	White	Europe	103889
100	loc.ark:/13960/t2v419n7g	0.34982332155477164	0.4623742807140418	Powys, John Cowper	Wood and Stone: A Romance	1915	Fiction-Novel	Male	White	Britain	229078
545	uc2.ark:/13960/t6057wc8c	0.34726688102894143	1.6782535497624567	Bennett, Arnold	The Matador of the Five Towns, and Other Stories	1912	Fiction-Stories	Male	White	Britain	138715
549	uc2.ark:/13960/t8rb78c05	0.347169811320754	1.1333237573816883	Buchan, John	Prester John	1910	Fiction-Novel	Male	White	Britain	87515
105	mdp.39015000632300	0.346820809248556	2.701199162579573	Lawrence, D. H.	St. Mawr	1925	Fiction-Stories	Male	White	Britain	71912
137	mdp.39015003681668	0.3467741935483881	0.84378892224022	Galsworthy, John	To Let	1921	Fiction-Novel	Male	White	Britain	110004
109	mdp.39015001347221	0.3460620525059665	0.5976279188683599	Joyce, James	Finnegan's Wake	1939	Fiction-Novel	Male	White	Ireland	262406
484	uc1.b3796887	0.3460490463215259	1.8331868939679874	Bennett, Arnold	A Great Man: A Frolic	1904	Fiction-Novel	Male	White	Britain	74929
77	inu.32000005550878	0.34444444444444433	0.4958522993356239	Chesterton, G. K.	The Scandal of Father Brown	1935	Fiction-Stories	Male	White	Britain	67933
458	uc1.32106016477231	0.34408602150537637	1.4514438476784366	Wells, H. G.	The Wheels of Chance: A Holiday Adventure	1896	Fiction-Novel	Male	White	Britain	71944
26	coo1.ark:/13960/t14m9r09c	0.3432835820895526	0.38654026691079496	Galsworthy, John	The Little Man, and Other Stories	1915	Fiction-Stories	Male	White	Britain	64874
526	uc1.b4717712	0.3432835820895522	0.592011267660677	Wells, H. G.	Tales of Space and Time	1899	Fiction-Stories	Male	White	Britain	84716
396	uc1.$b244159	0.34285714285714297	0.18172461504194004	Powys, Theodore Francis	Mark Only	1924	Fiction-Novel	Male	White	Britain	72085
367	pst.000029575206	0.34255599472990417	0.8907952090983715	Priestley, J. B.	The Good Companions	1929	Fiction-Novel	Male	White	Britain	318900
558	uiug.30112042040854	0.34241245136186715	0.669688022357067	Sinclair, May	Mary Olivier, A Life	1919	Fiction-Novel	Female	White	Britain	143632
49	hvd.hwjx3w	0.3411764705882358	0.5227946284166516	Galsworthy, John	The Freelands	1915	Fiction-Novel	Male	White	Britain	121705
223	mdp.39015030738069	0.34080717488789397	1.2789936095269467	Firbank, [Arthur Annesley] Ronald	Vainglory	1915	Fiction-Novel	Male	White	Britain	65257
565	umn.31951002117987b	0.3406593406593404	0.3450271397752647	Myers, L. H.	The Near and the Far	1929	Fiction-Novel	Male	White	Britain	98714
506	uc1.b4083133	0.3392857142857143	0.7536096001897457	Wells, H. G.	All Aboard for Ararat	1940	Fiction-Novel	Male	White	Britain	27812
490	uc1.b3811092	0.3391304347826089	0.8037647969370665	Bennett, Arnold	The Woman Who Stole Everything, and Other Stories	1927	Fiction-Stories	Male	White	Britain	107100
82	inu.39000000350756	0.33685800604229615	0.9569695152219891	Powys, John Cowper	Weymouth Sands: A Novel	1934	Fiction-Novel	Male	White	Britain	258911
97	inu.39000004309766	0.33613445378151163	0.7119244285739387	Chesterton, G. K.	The Paradoxes of Mr. Pond	1937	Fiction-Stories	Male	White	Britain	62561
99	inu.39000004633983	0.33333333333333337	0.8826861338534375	Chesterton, G. K.	The Ball and the Cross	1909	Fiction-Novel	Male	White	Britain	94132
67	inu.30000121090348	0.3333333333333333	0.29224999349962644	Powys, Theodore Francis	A Strong Girl and the Bride	1926	Fiction-Stories	Male	White	Britain	3842
256	mdp.39015050807257	0.3333333333333332	1.20973598955206	Macaulay, Rose	Non-Combatants and Others	1916	Fiction-Novel	Female	White	Britain	77037
418	uc1.$b794738	0.3333333333333327	1.0813441147825094	Firbank, [Arthur Annesley] Ronald	Caprice	1917	Fiction-Novel	Male	White	Britain	25959
25	coo1.ark:/13960/t0ht35x8w	0.3326530612244898	1.2809573531757725	Bennett, Arnold	The Roll-Call	1918	Fiction-Novel	Male	White	Britain	143170
292	mdp.39015079184662	0.3316953316953304	1.100991303500861	Conan Doyle, Arthur	The Return of Sherlock Holmes	1905	Fiction-Novel	Male	White	Britain	138357
174	mdp.39015009048433	0.33136094674556216	1.773167902737164	Beerbohm, Max	Works of Max Beerbohm	1896	Fiction-Unspecified	Male	White	Britain	35672
379	pst.000045968389	0.33121019108280264	1.5683022185955466	Stevenson, Robert Louis	The Strange Case of Dr. Jekyll and Mr. Hyde	1886	Fiction-Novel	Male	White	Britain	37468
384	pst.000062475938	0.33060556464811824	1.7535343226099294	Conrad, Joseph	The Secret Agent: A Simple Tale	1907	Fiction-Novel	Male	White	Europe	130412
315	mdp.49015001011247	0.3297872340425529	0.43774833334330054	Williams, Charles	The Place of the Lion	1931	Fiction-Novel	Male	White	Britain	80370
383	pst.000057254876	0.3268292682926823	0.8557190717101493	Greene, Graham	A Gun for Sale	1936	Fiction-Novel	Male	White	Britain	89663
