	htid	occurs_100k	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
443	uc1.32106006956004	175.56813520387212	1	Mansfield, Katherine	The Aloe	1930	Fiction-Stories	Female	White	Australasia	60945
146	mdp.39015005041283	175.2664049355023	1	Chesterton, G. K.	The Wisdom of Father Brown	1912	Fiction-Novel	Male	White	Britain	85584
520	uc1.b4097966	173.5512365525603	1	Bagnold, Enid	National Velvet	1935	Fiction-Novel	Female	White	Britain	89887
198	mdp.39015016414727	173.40818946521244	1	Maugham, William Somerset	Ah, King: Six Stories	1933	Fiction-Stories	Male	White	Britain	104378
221	mdp.39015030724986	171.776081565933	1	Chesterton, G. K.	Tales of the Long Bow	1925	Fiction-Stories	Male	White	Britain	72187
357	pst.000020900496	170.32702789355574	1	Wells, H. G.	In the Days of the Comet	1906	Fiction-Novel	Male	White	Britain	99808
31	coo1.ark:/13960/t9v12m24d	169.2109891084275	1	Chesterton, G. K.	The Man Who Knew Too Much, and Other Stories	1922	Fiction-Stories	Male	White	Britain	135334
72	inu.32000002820936	169.12165848336062	1	Conrad, Joseph	Almayer's Folly	1895	Fiction-Novel	Male	White	Europe	73320
505	uc1.b4082740	168.8678838102635	1	Woolf, Virginia	The Voyage Out	1915	Fiction-Novel	Female	White	Britain	185352
134	mdp.39015003681346	167.93695904921856	1	Galsworthy, John	A Man of Devon	1901	Fiction-Stories	Male	White	Britain	61928
295	mdp.39015092894172	167.4866534073068	1	Douglas, Norman [George]	Unprofessional Tales	1901	Fiction-Stories	Male	White	Europe	57318
237	mdp.39015032477062	167.4003007716876	1	Huxley, Aldous	Eyeless in Gaza	1936	Fiction-Novel	Male	White	Britain	182198
534	uc2.ark:/13960/t0pr7q78x	167.34291543451826	1	Ford, Ford Madox	The Panel: A Sheer Comedy	1912	Fiction-Novel	Male	White	Britain	87246
113	mdp.39015002299934	166.73374346001265	1	Wells, H. G.	Things to Come	1936	Fiction-Novel	Male	White	Britain	52179
328	nyp.33433074926589	166.642515577453	1	Bennett, Arnold	These Twain	1915	Fiction-Novel	Male	White	Britain	179426
38	hvd.32044018923557	164.98099132056507	1	Huxley, Aldous	Chrome Yellow	1921	Fiction-Novel	Male	White	Britain	69705
145	mdp.39015005028835	164.5559956910081	1	Wells, H. G.	Ann Veronica: A Modern Love Story	1909	Fiction-Novel	Male	White	Britain	117893
294	mdp.39015088638062	164.21196422213671	1	Jefferies, Richard	Bevis	1882	Fiction-Novel	Male	White	Britain	137627
144	mdp.39015005021566	163.9169012578844	1	Orwell, George	A Clergyman's Daughter	1935	Fiction-Novel	Male	White	South Asia	112252
201	mdp.39015016884994	161.7661052431248	1	Chesterton, G. K.	The Incredulity of Father Brown	1926	Fiction-Stories	Male	White	Britain	84072
521	uc1.b4098055	161.50092777128708	1	Aldington, Richard	The Colonel's Daughter	1931	Fiction-Novel	Male	White	Britain	116408
382	pst.000056831450	160.88475963177595	1	Bennett, Arnold	Anna of the Five Towns: A Novel	1902	Fiction-Novel	Male	White	Britain	93856
17	coo.31924013599190	160.79204972643052	1	Conrad, Joseph	Under Western Eyes	1911	Fiction-Novel	Male	White	Britain	134335
571	uva.x000926858	160.69456608659206	1	James, Henry	The Golden Bowl	1904	Fiction-Novel	Male	White	Us	131305
109	mdp.39015001347221	159.67622691554342	1	Joyce, James	Finnegan's Wake	1939	Fiction-Novel	Male	White	Ireland	262406
83	inu.39000000350780	159.31789272175385	1	Powys, John Cowper	Wolf Solent	1929	Fiction-Novel	Male	White	Britain	317604
305	mdp.49015000979592	159.30458484120174	1	Galsworthy, John	The Patrician	1911	Fiction-Novel	Male	White	Britain	108597
197	mdp.39015014841145	158.8470352690055	1	Maugham, William Somerset	Mrs. Craddock	1902	Fiction-Novel	Male	White	Britain	120871
561	umn.31951001206673a	158.4905660377357	1	Firbank, [Arthur Annesley] Ronald	Valmouth: A Romantic Novel	1919	Fiction-Novel	Male	White	Britain	39750
526	uc1.b4717712	158.17555125360036	1	Wells, H. G.	Tales of Space and Time	1899	Fiction-Stories	Male	White	Britain	84716
107	mdp.39015001130619	157.5882151421719	1	Barrie, J. M.	Auld Licht Idylls	1888	Fiction-Novel	Male	White	Britain	72975
537	uc2.ark:/13960/t1cj8gv9c	156.01470608186006	1	Conrad, Joseph	Within the Tides: Tales	1915	Fiction-Stories	Male	White	Europe	73711
263	mdp.39015054072536	153.3444202069065	1	Sayers, Dorothy	Murder Must Advertise	1933	Fiction-Novel	Female	White	Britain	138903
487	uc1.b3810633	152.80898876404495	1	Conrad, Joseph	The Nature of a Crime	1923	Fiction-Novel	Male	White	Europe	22250
151	mdp.39015005273563	150.3352592220434	1	Lewis, Wyndham	The Apes of God	1930	Fiction-Novel	Male	White	Other	258755
