	htid	spec_gb_subcity	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
420	uc1.31822038204798	0.6608695652173913	1.27242386779374	Macaulay, Rose	The Making of a Bigot	1914	Fiction-Novel	Female	White	Britain	89765
563	umn.31951p001743923	0.6538461538461539	1.1105429466062846	Beckett, Samuel	Murphy	1938	Fiction-Novel	Male	White	Ireland	69759
215	mdp.39015030719606	0.6434108527131782	1.6030737434838291	Wells, H. G.	Love and Mr Lewisham	1900	Fiction-Novel	Male	White	Britain	79924
347	pst.000006670955	0.6289592760180998	1.868175129523256	Galsworthy, John	In Chancery	1920	Fiction-Novel	Male	White	Britain	117494
406	uc1.$b322675	0.5833333333333333	1.667741937415474	Bennett, Arnold	Lilian 	1922	Fiction-Novel	Male	White	Britain	57172
242	mdp.39015041313043	0.5826086956521753	1.0119170800406212	Huxley, Aldous	Antic Hay	1923	Fiction-Novel	Male	White	Britain	112874
143	mdp.39015004750959	0.582089552238804	1.9880813058540485	Woolf, Virginia	Jacob's Room	1922	Fiction-Novel	Female	White	Britain	66944
92	inu.39000002612757	0.5778894472361815	1.1176762636221804	Hardy, Thomas	The Mayor of Casterbridge	1886	Fiction-Novel	Male	White	Britain	176839
220	mdp.39015030727195	0.5714285714285713	0.05831482759910542	Compton-Burnett, Ivy	A Family and a Fortune	1939	Fiction-Novel	Female	White	Britain	119223
384	uc1.$b105330	0.5694444444444444	0.701378082489241	Macaulay, Rose	Going Abroad	1934	Fiction-Novel	Female	White	Britain	101958
95	inu.39000003869802	0.5555555555555536	1.583341842467672	Galsworthy, John	The Man of Property	1906	Fiction-Novel	Male	White	Britain	135494
145	mdp.39015005028835	0.5470085470085455	0.9856865812089096	Wells, H. G.	Ann Veronica: A Modern Love Story	1909	Fiction-Novel	Male	White	Britain	117893
567	uva.x030581232	0.5459558823529391	1.3838851776649677	Galsworthy, John	The Forsyte Saga	1922	Fiction-Novel	Male	White	Britain	390427
314	mdp.49015001034074	0.5454545454545452	0.7031709666324287	Chesterton, G. K.	The Man Who Was Thursday: A Nightmare	1908	Fiction-Novel	Male	White	Britain	77686
261	mdp.39015054072536	0.5400000000000013	1.0725576261617504	Sayers, Dorothy	Murder Must Advertise	1933	Fiction-Novel	Female	White	Britain	138903
566	uva.x000926858	0.5400000000000005	0.7564143124620581	James, Henry	The Golden Bowl	1904	Fiction-Novel	Male	White	Us	131305
