	author	london_frac	weight	pub_date_avg	books	wordcount	ethnicity	corpus
3978	Terry, Eleanore S.	0.8840579710144928	0.8891914799325391	1904.0	1	96225		Hathi
2799	McKesson, Charles L.	0.8823529411764707	0.19037671168641562	1898.0	1	110731		Hathi
3762	Songman.	0.8823529411764705	0.40887956362372696	1883.0	1	51557		Hathi
2402	Lawler, O'Dermid W.	0.8819875776397523	1.9809660160728413	1910.0	1	100782		Hathi
3062	O'Conor-Eccles, Charlotte,	0.8815789473684211	3.328484097023058	1887.0	1	28314		Hathi
1154	Douglas, Amanda Minnie,	0.8799999999999999	0.27435627893150516	1890.0	1	112995		Hathi
1762	Hales, A. G. (Alfred Greenwood),	0.8787878787878788	0.367939899601521	1920.0	1	111217		Hathi
1466	Free, Richard William.	0.878453038674033	2.4014982422844384	1904.0	1	93461		Hathi
2406	Lawrence, C. E.	0.8763457138705728	1.7647520225989946	1920.0	2	171197		Hathi
1664	Graves, Charles L.	0.8759796444740692	10.796015382374364	1906.5	2	150047		Hathi
1787	Halévy, Ludovic,	0.875	0.2531330460861683	1901.0	1	39190		Hathi
318	Beck, Helen Watson.	0.875	0.37469440150516586	1899.0	1	79427		Hathi
4419	[Bayes, Walter]	0.8749999999999999	0.8022225518451348	1906.0	1	12366		Hathi
2060	Hudson, William Henry,	0.8720930232558137	1.108152479017583	1902.0	1	96235		Hathi
4130	Vernède, R. E.	0.870967741935484	0.4235047295326942	1908.0	1	90769		Hathi
4190	Ward, Josephine Mary Hope-Scott,	0.870229007633588	1.5624635869690833	1903.0	1	103967		Hathi
3838	Stepniak, S.,	0.866669082418073	0.24659942104491997	1883.0	2	150859		Hathi
4047	Trask, Katrina,	0.8666666666666668	2.3461822203228118	1907.0	1	7928		Hathi
1020	Davidson, Gladys	0.8666666666666667	0.2821383142372511	1922.0	1	65927		Hathi
3631	Sharp, Evelyn,	0.8641360374423513	1.4253244168895414	1911.0	3	223984		Hathi
1245	Edwards, R. A.	0.8600000000000001	1.2892594347327113	1933.0	1	48091		Hathi
2644	Maeterlinck, Maurice,	0.8593644163468049	0.34624073986259885	1910.3333333333333	3	36717		Hathi
2336	Körmendi, Ferenc,	0.8589743589743587	0.8235580036795107	1933.0	1	117445		Hathi
1899	Hellis, Nellie.	0.8571428571428572	1.5048104998443774	1882.0	1	17305		Hathi
3868	Strachey, Marjorie.	0.8571428571428572	0.6060991213631476	1920.0	1	28643		Hathi
56	Abbott, Charles T.	0.8571428571428571	0.1663807204501029	1899.0	1	52171		Hathi
2360	Lady, (Ethel Stefana), Drower, E. S.	0.8571428571428571	0.06683901012260386	1931.0	1	129868		Hathi
4106	Valentine, L.	0.8563999755882146	2.6965530109468965	1885.0	2	113236		Hathi
229	Balestier, Charles Wolcott,	0.853658536585366	1.1408126349705894	1892.0	1	44566		Hathi
1424	Forrester,	0.8529411764705879	1.6891509344349755	1894.0	1	49920		Hathi
1192	Dudeney, Henry,	0.8525345622119817	2.573327457393003	1899.0	1	104568		Hathi
2047	Howard, Sidney.	0.8518518518518517	0.6109998495701345	1898.0	1	54797		Hathi
2149	Jacobs, W. W. (William Wymark),	0.8479636830393558	1.1770456816355372	1914.0	2	137223		Hathi
349	Benét, Stephen Vincent,	0.8461538461538463	0.46123693863292425	1926.0	1	69901		Hathi
3471	Robinson, H. Perry	0.8461538461538461	0.31813979640603146	1910.0	1	50671		Hathi
3836	Stephenson, Nathaniel W.	0.8461538461538461	0.225136678961636	1901.0	1	71603		Hathi
600	Buckley, Elsie Finnimore,	0.846153846153846	0.1480925057755344	1908.0	1	108854		Hathi
3661	Shorter, Dora Sigerson,	0.8425351044942935	0.6423461798932874	1906.0	2	141180		Hathi
1737	Guest, Carmel Goldsmid, Mrs.	0.8421052631578947	1.308696137574559	1928.0	1	108019		Hathi
793	Clarke, Clara Savile.	0.84	0.5218741096891644	1891.0	1	59403		Hathi
2348	Körmendi, Ferenc,	0.8395061728395065	0.8561299353120811	1933.0	1	117322		Hathi
3477	Rohmer, Sax,	0.8392857142857123	1.9278909262389634	1924.0	1	108059		Hathi
1828	Harraden, Beatrice,	0.8378089743537456	14.282586369901631	1905.0	3	175108		Hathi
3944	Takizawa, Bakin,	0.8333333333333335	0.19404105147124548	1911.0	1	76687		Hathi
4160	Wackrill, H. R.	0.8333333333333334	0.2953520327532731	1937.0	1	25191		Hathi
2241	Kamyshansky, Boris.	0.8333333333333334	0.2296078588164332	1934.0	1	97212		Hathi
1160	Douglass, Ellsworth.	0.8333333333333333	0.08935904803016625	1899.0	1	83262		Hathi
83	Aho, Juhani,	0.8333333333333333	0.5323056179353025	1893.0	1	41932		Hathi
1374	Firdawsī.	0.8333333333333333	0.1941448492312111	1922.0	1	38323		Hathi
3920	Swaffer, Hannen.	0.8333333333333333	1.0584270655221144	1937.0	1	42177		Hathi
464	Bone, Gertrude,	0.8333333333333333	0.10544818528143801	1921.0	1	70558		Hathi
1771	Hall, F. Cameron.	0.8333333333333333	0.08690010344889745	1898.0	1	85618		Hathi
26	(Herbert Ernest), Bates, H. E.	0.8333333333333333	0.6728353280057607	1932.0	1	11058		Hathi
3522	Russell, T. Baron.	0.8309859154929582	0.8794402386880474	1899.0	1	100112		Hathi
3618	Service, Robert W.	0.8297872340425537	0.5111799335799723	1915.0	1	114014		Hathi
4320	Willoughby, George,	0.8297872340425536	3.2455034403423078	1913.0	1	53873		Hathi
2903	Montrésor, Frances Frederica,	0.8297872340425533	1.180723019128198	1900.0	1	49361		Hathi
737	Charlesworth, Maria Louisa,	0.8297872340425532	0.35923119420110333	1903.0	1	162240		Hathi
394	Bilbo, Jack,	0.8275862068965517	0.6776661096733104	1937.0	1	53066		Hathi
2022	Horn, Holloway.	0.8275152453745893	5.6499416420093995	1918.5	2	181698		Hathi
3781	Spender, Lily,	0.8260869565217391	0.662473676457219	1892.0	1	43052		Hathi
1517	Garnett, Lucy Mary Jane.	0.8235294117647058	0.3606172684494327	1913.0	1	58457		Hathi
4335	Wilton, Maurice.	0.8214285714285714	1.0879549497527505	1880.0	1	31914		Hathi
1344	Fendall, Percy.	0.8214285714285705	2.052229939302308	1886.0	1	50756		Hathi
3845	Stevens, Alfred,	0.8181818181818182	2.2715055128494233	1908.0	1	6005		Hathi
1027	Davies, Florence H.	0.8181818181818181	0.5843711166421381	1898.0	1	23342		Hathi
1938	Hichens, Robert,	0.8176879367549953	3.528451206144338	1909.3333333333333	3	439779		Hathi
2971	Murry, John Middleton,	0.8157894736842106	0.5456259623625602	1924.0	1	86362		Hathi
2901	Montgomery, L. M. (Lucy Maud),	0.8148148148148149	0.4251712288327765	1925.0	1	78747		Hathi
3692	Sinnett, A. P.	0.8148148148148148	0.5214452834054115	1886.0	1	64208		Hathi
2657	Makower, Stanley Victor.	0.8148148148148148	0.6473503239925497	1895.0	1	51720		Hathi
1629	Gorky, Maksim,	0.8145165318801431	1.1050661246940734	1907.9	10	904021		Hathi
3475	Rodziewiczówna, Maria,	0.8129243509327253	0.4697903951361811	1900.6666666666667	3	247609		Hathi
2321	Knight.	0.8116883116883116	2.450757414114951	1910.0	1	77921		Hathi
908	Cournos, John,	0.8110401137688551	0.6757283739260249	1925.0	2	189303		Hathi
3360	Raphael, John N.	0.8095238095238095	0.7889222521754409	1908.0	1	33008		Hathi
3356	Randall, F. J.	0.8082191780821918	1.093320839105355	1908.0	1	82796		Hathi
4012	Thorn, Ismay.	0.8076923076923078	1.3421415055940402	1880.0	1	24022		Hathi
2931	Morley, Charles Robert,	0.8071490261109637	4.804441805285766	1906.5	2	142001		Hathi
3423	Richardson, Dorothy M.	0.8070379061020777	5.584960580412026	1918.3333333333333	3	249482		Hathi
517	Brebner, Percy James,	0.8068852515368354	1.5955563222032383	1905.0	2	178343		Hathi
2542	Lowndes, Marie Belloc,	0.8066788839091628	1.825316435375953	1924.0	2	137065		Hathi
2082	Hunter, Charles.	0.8023255813953488	1.8484574180274396	1905.0	1	57693		Hathi
1807	Harben, Henry Devenish,	0.8011695906432748	3.7845095864179856	1923.0	1	56030		Hathi
23	(Gladys Bronwyn), Stern, G. B.	0.8010924830780197	2.0457243266466567	1926.5	2	215833		Hathi
1678	Greene, Graham,	0.8002895824726762	8.665454449115375	1926.8333333333333	6	449586		Hathi
1188	Du Hausset,	0.8000000000000002	0.23250811120968576	1895.0	1	53333		Hathi
116	Allen, James Lane,	0.8	0.1055349369799674	1912.0	1	58750		Hathi
3612	Sellers, Tom,	0.8	0.7529970303100662	1934.0	1	8234		Hathi
