	author	volumes	weight	pub_date_avg	books	wordcount	ethnicity	corpus
653	Caffyn, Kathleen Mannington Hunt.	6.0	1.0	1907.1666666666667	6	824169		Hathi
360	Benson, E. F. (Edward Frederic),	6.0	1.0	1925.3333333333333	6	557676		Hathi
2817	McKenna, Stephen,	6.0	1.0	1924.5	6	721105		Hathi
2454	Lee, Vernon,	6.0	1.0	1903.1666666666667	6	288798		Hathi
1275	Ellis, Havelock,	6.0	1.0	1911.0	6	237907		Hathi
4438	Zangwill, Israel,	6.0	1.0	1904.3333333333333	6	1071853		Hathi
4422	Yorke, Curtis.	6.0	1.0	1901.5	6	459518		Hathi
936	Crane, Stephen,	6.0	1.0	1903.1666666666667	6	447656		Hathi
877	Conway, Hugh,	6.0	1.0	1884.5	6	312809		Hathi
4121	Twain, Mark,	6.0	1.0	1892.0	6	580167		Hathi
3796	Southworth, Emma Dorothy Eliza Nevitte,	6.0	1.0	1885.0	6	993700		Hathi
135	Andreyev, Leonid,	6.0	1.0	1914.0	6	219724		Hathi
1521	Garnett, David,	6.0	1.0	1928.6666666666667	6	223076		Hathi
1136	Disraeli, Benjamin, Earl of Beaconsfield,	6.0	1.0	1926.5	6	1073754		Hathi
752	Chaucer, Geoffrey,	6.0	1.0	1892.5	6	1068499		Hathi
3940	Sutcliffe, Halliwell,	6.0	1.0	1914.1666666666667	6	732440		Hathi
772	Cholmondeley, Mary,	6.0	1.0	1896.3333333333333	6	396622		Hathi
159	Armstrong, Martin Donisthorpe,	6.0	1.0	1930.6666666666667	6	434602		Hathi
1688	Greene, Graham,	6.0	1.0	1926.8333333333333	6	449586		Hathi
2207	Jerome, Jerome K.	6.0	1.0	1900.1666666666667	6	281785		Hathi
2940	Mordaunt, Elinor,	6.0	1.0	1923.6666666666667	6	840882		Hathi
1459	Frankau, Gilbert,	6.0	1.0	1927.8333333333333	6	1127091		Hathi
2122	Hyne, Charles John Cutcliffe Wright,	6.0	1.0	1910.3333333333333	6	504539		Hathi
3121	Orczy, Emmuska Orczy,	6.0	1.0	1910.8333333333333	6	692154		Hathi
2905	Molloy, J. Fitzgerald	6.0	1.0	1889.5	6	379067		Hathi
2263	Keable, Robert,	6.0	1.0	1922.8333333333333	6	717084		Hathi
