	author	occurs_100k	weight	pub_date_avg	books	wordcount	ethnicity	corpus
3779	Solly, Henry,	320.34573866006593	2.0	1884.5	2	149413		Hathi
149	Arena.	320.2884717361333	1.0	1883.0	1	47145		Hathi
247	Barbey d'Aurevilly, J.	320.180957994169	1.0	1900.0	1	62777		Hathi
297	Bathgate, Alexander,	319.9733844768867	1.0	1881.0	1	102196		Hathi
3557	Régnier, Mêlanie V. de.	319.9375731564573	1.0	1912.0	1	51260		Hathi
3351	Péronne	319.8373081900551	1.0	1895.0	1	108180		Hathi
2880	Millin, Sarah Gertrude Liebson,	319.77449177141136	3.0	1931.6666666666667	3	244950		Hathi
4248	Watts, George Frederick,	319.4495638284803	1.0	1907.0	1	8139		Hathi
2675	Malden, Charles,	319.20309296790117	1.0	1889.0	1	72681		Hathi
3488	Robinson, A. Mary F.	319.1571047050496	2.0	1883.0	2	125387		Hathi
571	Brown, J. Moray	319.12110907664055	1.0	1889.0	1	76460		Hathi
